target,merge_step,piece,readable,rank,byte_length,leverage,leverage_ci_low,leverage_ci_high,is_gap
accom,4,om,om,37,2,0.5747706294059753,0.5017177208512015,0.6478235379607492,False
accom,5,cc,cc,259,2,0.33565565943717957,0.23733917325757176,0.4339721456167874,False
accom,6,▁acc,acc,412,4,0.541129812002182,0.42178347723374854,0.6604761467706155,False
accom,7,▁accom,accom,3295,6,1.5830708682537078,1.4419686390856912,1.7241730974217244,False
Thank,5,an,an,24,2,0.5156482374668121,0.41458640089183973,0.6167100740417845,False
Thank,6,▁Th,Th,224,3,0.26489352226257323,0.18823605913029018,0.3415509853948563,False
Thank,7,ank,ank,784,3,0.8525788390636444,0.7279609728306731,0.9771967052966157,False
Thank,8,▁Thank,Thank,4155,6,1.4454993307590485,1.3469706500268823,1.5440280114912146,False
contin,5,in,in,2,2,0.5681668972969055,0.4773080364431823,0.6590257581506287,False
contin,6,on,on,5,2,0.5875390863418579,0.511186277313582,0.6638918953701338,False
contin,7,▁con,con,112,4,0.6402592074871063,0.5122187411166237,0.7682996738575889,False
contin,8,▁cont,cont,279,5,0.6553474998474121,0.5415992557095991,0.7690957439852252,False
contin,9,▁contin,contin,975,7,1.4262581193447113,1.3241235736954082,1.5283926649940143,False
partic,6,ar,ar,30,2,0.682148665189743,0.5900907750069737,0.7742065553725124,False
partic,7,ic,ic,34,2,0.5909778952598572,0.48492437237037267,0.6970314181493418,False
partic,8,art,art,163,3,0.46657092571258546,0.38619657576786115,0.5469452756573098,False
partic,9,▁part,part,345,5,0.6147365927696228,0.5332571183492529,0.6962160671899926,False
partic,10,▁partic,partic,946,7,1.3798926293849945,1.2505203914645067,1.5092648673054823,False
associ,5,▁as,as,99,3,0.7604851138591766,0.662700828928189,0.8582693987901642,False
associ,6,ci,ci,208,2,0.22149695158004762,0.12246108471670272,0.32053281844339254,False
associ,7,so,so,257,2,0.784488000869751,0.6796406519164965,0.8893353498230055,False
associ,8,soci,soci,1366,4,0.5939635241031647,0.49511287049739605,0.6928141777089333,False
associ,9,▁associ,associ,2262,7,1.3313276767730713,1.2244156481926582,1.4382397053534843,False
jour,4,ou,ou,17,2,0.42365749716758727,0.34284240615523276,0.5044725881799418,False
jour,5,our,our,192,3,0.45596091032028196,0.35820865010896996,0.553713170531594,False
jour,6,▁jour,jour,2333,5,1.302546581029892,1.1710035075790783,1.4340896544807056,False
Every,5,er,er,7,2,0.6986088681221009,0.5874830148906077,0.809734721353594,False
Every,6,ver,ver,76,3,0.5574467921257019,0.4426459650127064,0.6722476192386974,False
Every,7,very,very,247,4,0.7388854646682739,0.6549833130885099,0.8227876162480379,False
Every,8,▁Every,Every,2412,6,1.2686595487594605,1.176746804782025,1.360572292736896,False
nab,3,ab,ab,131,2,0.7751125764846801,0.6640996720297205,0.8861254809396397,False
nab,4,nab,nab,5930,3,1.2483010935783385,1.1401780024162067,1.3564241847404703,False
Inter,5,er,er,7,2,0.6986088681221009,0.5874830148906077,0.809734721353594,False
Inter,6,ter,ter,109,3,0.6339738988876342,0.554979111162705,0.7129686866125634,False
Inter,7,▁In,In,238,3,0.4918594247102737,0.3996874711148969,0.5840313783056506,False
Inter,8,▁Inter,Inter,3554,6,1.2067672955989837,1.1190553978908562,1.2944791933071111,False
What,4,at,at,11,2,0.6466294193267822,0.5411003074502023,0.7521585312033621,False
What,5,▁Wh,Wh,433,3,0.5883497786521912,0.4487079389788735,0.7279916183255088,False
What,6,▁What,What,895,5,1.1947542345523834,1.0845056540352214,1.3050028150695454,False
analy,5,al,al,26,2,0.7487594854831695,0.6630563506689,0.834462620297439,False
analy,6,▁an,an,98,3,0.5145696306228638,0.4140246806853104,0.6151145805604171,False
analy,7,▁anal,anal,1571,5,1.045409859418869,0.912502873821143,1.1783168450165948,False
analy,8,▁analy,analy,3161,6,1.1786238753795624,1.0631182632900713,1.2941294874690534,False
doesn,5,es,es,16,2,0.5691511857509614,0.490004882990628,0.6482974885112947,False
doesn,6,▁do,do,193,3,0.7251201236248016,0.6285039559545785,0.8217362912950247,False
doesn,7,▁does,does,707,5,0.9633549559116363,0.8578577701079255,1.0688521417153471,False
doesn,8,▁doesn,doesn,1563,6,1.1741156831383706,1.0792522649343979,1.2689791013423433,False
according,8,in,in,2,2,0.5681668972969055,0.4773080364431823,0.6590257581506287,False
according,9,or,or,15,2,0.47793734312057495,0.38528237566689727,0.5705923105742526,False
according,10,ing,ing,21,3,0.624073691368103,0.5394378332237605,0.7087095495124455,False
according,11,cc,cc,259,2,0.33565565943717957,0.23733917325757176,0.4339721456167874,False
according,12,ord,ord,395,3,0.4864339017868042,0.4012766603046959,0.5715911432689125,False
according,13,▁acc,acc,412,4,0.541129812002182,0.42178347723374854,0.6604761467706155,False
according,14,ording,ording,1243,6,1.0205444550514222,0.9183506309068482,1.1227382791959961,False
according,15,▁according,according,2114,10,1.1699885988235474,1.0899035778505313,1.2500736197965636,False
commit,5,it,it,14,2,0.41764426708221436,0.3654449291841125,0.46984360498031624,False
commit,6,om,om,37,2,0.5747706294059753,0.5017177208512015,0.6478235379607492,False
commit,7,▁com,com,120,4,0.48425463914871214,0.3799907524248316,0.5885185258725927,False
commit,8,▁comm,comm,444,5,0.5870835423469544,0.45752644845269075,0.716640636241218,False
commit,9,▁commit,commit,3130,7,1.146831636428833,1.0437726595917345,1.2498906132659313,False
mag,3,ag,ag,210,2,0.6702753794193268,0.5642907492027172,0.7762600096359364,False
mag,4,▁mag,mag,2681,4,1.1362556850910186,1.0249057546181612,1.247605615563876,False
After,5,er,er,7,2,0.6986088681221009,0.5874830148906077,0.809734721353594,False
After,6,ter,ter,109,3,0.6339738988876342,0.554979111162705,0.7129686866125634,False
After,7,fter,fter,422,4,0.7254553055763244,0.6463399975799186,0.8045706135727303,False
After,8,▁After,After,1446,6,1.128388603925705,1.0524394686603602,1.2043377391910497,False
major,5,or,or,15,2,0.47793734312057495,0.38528237566689727,0.5705923105742526,False
major,6,aj,aj,1166,2,0.5516031801700592,0.42580527325758455,0.6774010870825338,False
major,7,ajor,ajor,1540,4,0.9934907174110412,0.908815051375278,1.0781663834468045,False
major,8,▁major,major,1682,6,1.117507643699646,1.0348822428116264,1.2001330445876657,False
diffe,4,if,if,104,2,0.2885540497303009,0.18611408194463075,0.39099401751597107,False
diffe,5,fe,fe,217,2,0.45863269329071044,0.35765008919746505,0.5596152973839558,False
