Vocabulary diff: beta=0.3 vs beta=0.0 (BPE)
Shared: 695
Swapped IN  (gravity added):   70
Swapped OUT (gravity removed):  70

=== SWAPPED IN (sorted by leverage) ===
  - 'C'                   lev=0.0000  freq=    86,273  score=0.548175
  - '0'                   lev=0.0000  freq=    76,390  score=0.533213
  - '1'                   lev=0.0000  freq=    68,429  score=0.519678
  - 'M'                   lev=0.0000  freq=    66,676  score=0.516487
  - 'x'                   lev=0.0000  freq=    62,377  score=0.508291
  - 'P'                   lev=0.0000  freq=    59,385  score=0.502246
  - 'B'                   lev=0.0000  freq=    56,179  score=0.495421
  - '’'                   lev=0.0000  freq=    55,145  score=0.493136
  - '2'                   lev=0.0000  freq=    53,938  score=0.490414
  - 'W'                   lev=0.0000  freq=    53,092  score=0.488470
  - 'D'                   lev=0.0000  freq=    51,010  score=0.483551
  - 'E'                   lev=0.0000  freq=    49,686  score=0.480316
  - 'R'                   lev=0.0000  freq=    49,082  score=0.478812
  - 'H'                   lev=0.0000  freq=    47,498  score=0.474778
  - 'F'                   lev=0.0000  freq=    42,832  score=0.462062
  - 'L'                   lev=0.0000  freq=    42,235  score=0.460336
  - 'N'                   lev=0.0000  freq=    41,384  score=0.457833
  - 'O'                   lev=0.0000  freq=    41,231  score=0.457377
  - ':'                   lev=0.0000  freq=    35,155  score=0.437772
  - 'G'                   lev=0.0000  freq=    34,866  score=0.436756
  - 'j'                   lev=0.0000  freq=    34,569  score=0.435704
  - "'"                   lev=0.0000  freq=    32,814  score=0.429297
  - '('                   lev=0.0000  freq=    30,427  score=0.420009
  - 'z'                   lev=0.0000  freq=    29,057  score=0.414343
  - '3'                   lev=0.0000  freq=    27,924  score=0.409452
  - '5'                   lev=0.0000  freq=    26,737  score=0.404110
  - '4'                   lev=0.0000  freq=    23,665  score=0.389101
  - '9'                   lev=0.0000  freq=    23,641  score=0.388976
  - 'J'                   lev=0.0000  freq=    22,460  score=0.382674
  - '"'                   lev=0.0000  freq=    21,595  score=0.377844
  - 'U'                   lev=0.0000  freq=    21,532  score=0.377485
  - '8'                   lev=0.0000  freq=    20,105  score=0.369052
  - '6'                   lev=0.0000  freq=    19,371  score=0.364478
  - 'Y'                   lev=0.0000  freq=    18,138  score=0.356390
  - '7'                   lev=0.0000  freq=    17,960  score=0.355177
  - '“'                   lev=0.0000  freq=    17,540  score=0.352267
  - '”'                   lev=0.0000  freq=    17,262  score=0.350303
  - 'V'                   lev=0.0000  freq=    16,994  score=0.348378
  - 'K'                   lev=0.0000  freq=    16,252  score=0.342888
  - '/'                   lev=0.0000  freq=    15,259  score=0.335135
  - '|'                   lev=0.0000  freq=    15,204  score=0.334691
  - '–'                   lev=0.0000  freq=     9,315  score=0.274440
